author1,author2,similarity
A. Starostine,S. Pu,1.0
A. Starostine,Xinghua Guo,1.0
A. Stewart,C. Ko,1.0
A. Stewart,D. Winchester,1.0
A. Stewart,K. Bilimoria,1.0
A. Storeygard,D. Balk,1.0
A. Storeygard,Kate E. Jones,1.0
A. Storeygard,M. Levy,1.0
A. Storeygard,N. Patel,1.0
A. Storeygard,P. Daszak,1.0
A. Stutz,B. Roechert,1.0
A. Stutz,G. Chavali,1.0
A. Stutz,L. Breuza,1.0
A. Stutz,M. Tognolli,1.0
A. Stutz,S. Orchard,1.0
A. Stutz,U. Hinz,1.0
A. Suija,K. Põldmaa,1.0
A. Suija,M. Bahram,1.0
A. Suija,M. Peterson,1.0
A. Suija,P. Kohout,1.0
A. Sultan-Qurraie,A. Siepel,1.0
A. Sultan-Qurraie,G. Bejerano,1.0
A. Sultan-Qurraie,Heather Trumbower,1.0
A. Sultan-Qurraie,J. S. Pedersen,1.0
A. Sultan-Qurraie,M. Weirauch,1.0
A. Sutton,E. Matteson,1.0
A. Sutton,I. Buchan,1.0
A. Sutton,M. Sweeting,1.0
A. Sutton,T. Bongartz,1.0
A. Sutton,V. Montori,1.0
A. Sverdlov,A. Nikolskaya,1.0
A. Sverdlov,A. R. Jacobs,1.0
A. Sverdlov,B. Sridhar Rao,1.0
A. Sverdlov,Bmc Bioinformatics,1.0
A. Sverdlov,D. M. Krylov,1.0
A. Sverdlov,R. Mazumder,1.0
A. Sverdlov,S. Mekhedov,1.0
A. Sverdlov,S. Smirnov,1.0
A. Sverdlov,S. Vasudevan,1.0
A. Sverdlov,Y. Wolf,1.0
A. Szalay,B. Abel,1.0
A. Szalay,D. Alonso,1.0
A. Szalay,Emily Acosta,1.0
A. Szalay,J. Andrew,1.0
A. Szalay,J. Tyson,1.0
A. Szalay,R. Allsman,1.0
A. Szalay,S. Anderson,1.0
A. Szalay,S. Kahn,1.0
A. Szalay,Y. AlSayyad,1.0
A. Szalay,vZeljko Ivezi'c,1.0
A. Szczepura,Cfb Sanderson,1.0
A. Szczepura,Cm Mckee,1.0
A. Szczepura,Dl Lamping,1.0
A. Szczepura,Doug Altman,1.0
A. Szczepura,I. Russell,1.0
A. Szczepura,J. Askham,1.0
A. Szczepura,Mk Murphy,1.0
A. Szczepura,Mr Peter Bower,1.0
A. Szczepura,N. Black,1.0
A. Szczepura,T. Marteau,1.0
A. Sánchez Alvarado,B. Moore,1.0
A. Sánchez Alvarado,E. Ross,1.0
A. Sánchez Alvarado,Genís Parra,1.0
A. Sánchez Alvarado,Sofia M. C. Robb,1.0
A. Taylor,D. Dewailly,1.0
A. Taylor,E. Carmina,1.0
A. Taylor,E. Diamanti-Kandarakis,1.0
A. Taylor,H. Escobar-Morreale,1.0
A. Taylor,O. Janssen,1.0
A. Taylor,R. Azziz,1.0
A. Taylor,R. Legro,1.0
A. Taylor,R. Norman,1.0
A. Taylor,S. Witchel,1.0
A. Taylor,W. Futterweit,1.0
A. Templeton,A. Ocaña,1.0
A. Templeton,B. Seruga,1.0
A. Templeton,B. Tran,1.0
A. Templeton,F. Vera-Badillo,1.0
A. Templeton,G. Sonpavde,1.0
A. Templeton,I. Tannock,1.0
A. Templeton,J. Knox,1.0
A. Templeton,M. McNamara,1.0
A. Templeton,P. Aneja,1.0
A. Templeton,R. Leibowitz-Amit,1.0
A. Teoh,G. Hobbs,1.0
A. Teoh,M. Hobbs,1.0
A. Teoh,R. Manchester,1.0
A. Thompson,J. Doak,1.0
A. Thompson,S. Ruhl,1.0
A. Thormann,A. Gall,1.0
A. Thormann,C. G. Girón,1.0
A. Thormann,Carla A. Cummins,1.0
A. Thormann,D. Zerbino,1.0
A. Thormann,Jyothish Bhai,1.0
A. Thormann,Konstantinos Billis,1.0
A. Thormann,Leo Gordon,1.0
A. Thormann,M. Amode,1.0
A. Thormann,P. Achuthan,1.0
A. Thormann,Wasiu A. Akanni,1.0
A. Thorson,A. C. Llavall,1.0
A. Thorson,A. Dixit,1.0
A. Thorson,Dengyi Zhou,1.0
A. Thorson,E. Stallings,1.0
A. Thorson,J. Allotey,1.0
A. Thorson,L. Debenham,1.0
A. Thorson,M. Bonet,1.0
A. Thorson,M. Yap,1.0
A. Thorson,S. Chatterjee,1.0
A. Thorson,T. Kew,1.0
A. Tikuisis,A. Ignatchenko,1.0
A. Tikuisis,G. Cagney,1.0
A. Tikuisis,Gouqing Zhong,1.0
A. Tikuisis,Haiyuan Yu,1.0
A. Tikuisis,Joyce Li,1.0
A. Tikuisis,N. Krogan,1.0
A. Tikuisis,Nira Datta,1.0
A. Tikuisis,S. Pu,1.0
A. Tikuisis,Thanuja Punna,1.0
A. Tikuisis,Xinghua Guo,1.0
A. Tincani,G. Lakos,1.0
A. Tincani,I. Kontopoulou-Griva,1.0
A. Tincani,J. Font,1.0
A. Tincani,J. Piette,1.0
A. Tincani,M. Camps,1.0
A. Tincani,M. Galeazzi,1.0
A. Tincani,M. Khamashta,1.0
A. Tincani,R. Cervera,1.0
A. Tincani,S. Jacobsen,1.0
A. Tincani,Y. Shoenfeld,1.0
A. Tomkins,B. Reed,1.0
A. Tomkins,Christopher Olston,1.0
A. Tomkins,Ravi Kumar,1.0
A. Tomkins,U. Srivastava,1.0
A. Tordai,A. González-Angulo,1.0
A. Tordai,B. Hennessy,1.0
A. Tordai,C. Liedtke,1.0
A. Tordai,C. Mazouni,1.0
A. Tordai,F. André,1.0
A. Tordai,J. Mejia,1.0
A. Tordai,K. Hess,1.0
A. Tordai,M. Cristofanilli,1.0
A. Tordai,Marjorie C. Green,1.0
A. Tordai,W. Symmans,1.0
A. Towfighi,A. Go,1.0
A. Towfighi,D. Arnett,1.0
A. Towfighi,E. Benjamin,1.0
A. Towfighi,H. Fullerton,1.0
A. Towfighi,J. Despres,1.0
A. Towfighi,M. Blaha,1.0
A. Towfighi,M. Cushman,1.0
A. Towfighi,Mark D. Huffman,1.0
A. Towfighi,S. D. de Ferranti,1.0
A. Towfighi,V. Howard,1.0
A. Tritscher,A. Hanberg,1.0
A. Tritscher,H. Fiedler,1.0
A. Tritscher,H. Håkansson,1.0
A. Tritscher,L. Birnbaum,1.0
A. Tritscher,L. Haws,1.0
A. Tritscher,M. Denison,1.0
A. Tritscher,M. Feeley,1.0
A. Tritscher,M. van den Berg,1.0
A. Tritscher,Michael J De Vito,1.0
A. Tritscher,W. Farland,1.0
A. Troxel,A. Neimann,1.0
A. Troxel,D. Margolis,1.0
A. Troxel,D. Shin,1.0
A. Troxel,J. Gelfand,1.0
A. Troxel,Xingmei Wang,1.0
A. Tsoi,A. Back,1.0
A. Tsoi,C. Lee Giles,1.0
A. Tsoi,S. Lawrence,1.0
A. Tufail,Bernardino Romera-Paredes,1.0
A. Tufail,Brendan O'Donoghue,1.0
A. Tufail,D. Visentin,1.0
A. Tufail,Harry Askham,1.0
A. Tufail,J. Ledsam,1.0
A. Tufail,Jeffrey De Fauw,1.0
A. Tufail,Nenad Tomašev,1.0
A. Tufail,Sam Blackwell,1.0
A. Tufail,Stanislav Nikolov,1.0
A. Tufail,Xavier Glorot,1.0
A. Tung,Aaron M. Joffe,1.0
A. Tung,C. Gélinas,1.0
A. Tung,E. W. Ely,1.0
A. Tung,Gilles L. Fraser,1.0
A. Tung,J. Barr,1.0
A. Tung,John P. Kress,1.0
A. Tung,John W. Devlin,1.0
A. Tung,Joseph F. Dasta,1.0
A. Tung,Judy E. Davidson,1.0
A. Tung,K. Puntillo,1.0
A. V. Gelder,J. Schlipf,1.0
A. V. Gelder,K. A. Ross,1.0
A. Varga,H. Steeneken,1.0
A. Varnik,A. Apter,1.0
A. Varnik,A. Beautrais,1.0
A. Varnik,A. Haas,1.0
A. Varnik,A. Marušič,1.0
A. Varnik,D. Currier,1.0
A. Varnik,J. Bertolote,1.0
A. Varnik,J. Lonnqvist,1.0
A. Varnik,J. Mann,1.0
A. Varnik,K. Malone,1.0
A. Varnik,U. Hegerl,1.0
A. Vasco-Palacios,A. Saitta,1.0
A. Vasco-Palacios,Cathy Sharp,1.0
A. Vasco-Palacios,Erki Saluveer,1.0
A. Vasco-Palacios,Luis Villarreal Ruiz,1.0
A. Vasco-Palacios,Matthew E. Smith,1.0
A. Vasco-Palacios,Miguel Rosas,1.0
A. Vasco-Palacios,N. Yorou,1.0
A. Vasco-Palacios,P. Q. Thu,1.0
A. Vasco-Palacios,Ravi L. C. Wijesundera,1.0
A. Vasco-Palacios,Sergei Põlme,1.0
A. Vatsan,Alex Astashyn,1.0
A. Vatsan,B. Rajput,1.0
A. Vatsan,B. Robbertse,1.0
A. Vatsan,B. Smith-White,1.0
A. Vatsan,Danso Ako-Adjei,1.0
A. Vatsan,Diana Haddad,1.0
A. Vatsan,Mathew W. Wright,1.0
A. Vatsan,N. O'Leary,1.0
A. Vatsan,Richard McVeigh,1.0
A. Vatsan,S. Ciufo,1.0
A. Verbeeck,B. Vanhoorne,1.0
A. Verbeeck,F. Hernandez,1.0
A. Verbeeck,L. Vandepitte,1.0
A. Verbeeck,S. Colpaert,1.0
A. Verbeeck,S. Dekeyzer,1.0
A. Verbeeck,W. Decock,1.0
A. Vest,A. Deswal,1.0
A. Vest,B. Bozkurt,1.0
A. Vest,D. Aguilar,1.0
A. Vest,Joni J. Byun,1.0
A. Vest,L. Allen,1.0
A. Vest,Linda R. Evers,1.0
A. Vest,M. Drazner,1.0
A. Vest,Monica Colvin,1.0
A. Vest,P. Heidenreich,1.0
A. Vest,S. Dunlay,1.0
A. Veuthey,A. D. Silva,1.0
A. Veuthey,B. Bely,1.0
A. Veuthey,Borisas Bursteinas,1.0
A. Veuthey,C. Bonilla,1.0
A. Veuthey,J. Arganiska,1.0
A. Veuthey,M. Bingley,1.0
A. Veuthey,M. D. Giorgi,1.0
A. Veuthey,R. Antunes,1.0
A. Veuthey,R. Britto,1.0
A. Veuthey,Tunca Dogan,1.0
A. Vlahiotis,D. Morgensztern,1.0
A. Vlahiotis,E. Spitznagel,1.0
A. Vlahiotis,J. Piccirillo,1.0
A. Vlahiotis,N. Page,1.0
A. Vlahiotis,R. Govindan,1.0
A. Vlahiotis,R. Tierney,1.0
A. Vlahiotis,W. Read,1.0
A. Voter,D. Papaconstantopoulos,1.0
A. Voter,J. Kress,1.0
A. Voter,M. Mehl,1.0
A. Voter,Y. Mishin,1.0
A. Vullo,A. Gall,1.0
A. Vullo,C. G. Girón,1.0
A. Vullo,Carla A. Cummins,1.0
A. Vullo,D. Zerbino,1.0
A. Vullo,Jyothish Bhai,1.0
A. Vullo,Konstantinos Billis,1.0
A. Vullo,Leo Gordon,1.0
A. Vullo,M. Amode,1.0
A. Vullo,P. Achuthan,1.0
A. Vullo,Wasiu A. Akanni,1.0
A. W. Schüttelkopf,D. V. van Aalten,1.0
A. Watanabe,Ayako Tanaka,1.0
A. Watanabe,E. Asamizu,1.0
A. Watanabe,H. Kotani,1.0
A. Watanabe,M. Hirosawa,1.0
A. Watanabe,M. Sugiura,1.0
A. Watanabe,N. Miyajima,1.0
A. Watanabe,S. Sasamoto,1.0
A. Watanabe,Shusei Sato,1.0
A. Watanabe,T. Kaneko,1.0
A. Watanabe,Yasukazu Nakamura,1.0
A. Waterhouse,G. Studer,1.0
A. Waterhouse,M. Biasini,1.0
A. Waterhouse,Martino Bertoni,1.0
A. Waterhouse,S. Bienert,1.0
A. Waterhouse,T. G. Cassarino,1.0
A. Waterhouse,Tobias Schmidt,1.0
A. Wattam,B. Parrello,1.0
A. Wattam,G. Olsen,1.0
A. Wattam,G. Pusch,1.0
A. Wattam,James J. Davis,1.0
A. Wattam,Maulik Shukla,1.0
A. Wattam,R. Edwards,1.0
A. Wattam,R. Olson,1.0
A. Wattam,R. Overbeek,1.0
A. Wattam,S. Gerdes,1.0
A. Wattam,T. Disz,1.0
A. Webber,Andrew Albright,1.0
A. Webber,E. Murphy,1.0
A. Webber,Hongchao Lu,1.0
A. Webber,J. Yearley,1.0
A. Webber,M. Ayers,1.0
A. Webber,M. Nebozhyn,1.0
A. Webber,R. Cristescu,1.0
A. Webber,R. Mogg,1.0
A. Webber,Xiao Qiao Liu,1.0
A. Webber,Xinwei Sher,1.0
A. Westerling,D. Cayan,1.0
A. Westerling,H. Hidalgo,1.0
A. Westerling,T. Swetnam,1.0
A. Wilm,D. Higgins,1.0
A. Wilm,David Dineen,1.0
A. Wilm,Fabian Sievers,1.0
A. Wilm,J. Thompson,1.0
A. Wilm,K. Karplus,1.0
A. Wilm,T. Gibson,1.0
A. Wu,C. Rand,1.0
A. Wu,H. Rubin,1.0
A. Wu,M. Cabana,1.0
A. Wu,Modena E. H. Wilson,1.0
A. Wu,P. Abboud,1.0
A. Yang,Arvind Ganesh,1.0
A. Yang,John Wright,1.0
A. Yang,S. Sastry,1.0
A. Yang,Yi Ma,1.0
A. Yazdani,A. Nijholt,1.0
A. Yazdani,C. Mühl,1.0
A. Yazdani,I. Patras,1.0
A. Yazdani,Jong-Seok Lee,1.0
A. Yazdani,M. Soleymani,1.0
A. Yazdani,Sander Koelstra,1.0
A. Yazdani,T. Ebrahimi,1.0
A. Yazdani,T. Pun,1.0
A. Yefanov,Carlos Evangelista,1.0
A. Yefanov,H. Lee,1.0
A. Yefanov,K. A. Marshall,1.0
A. Yefanov,Katherine H. Phillippy,1.0
A. Yefanov,Maxim Tomashevsky,1.0
A. Yefanov,Michelle Holko,1.0
A. Yefanov,N. Serova,1.0
A. Yefanov,Patti M. Sherman,1.0
A. Yefanov,Pierre Ledoux,1.0
A. Yefanov,S. E. Wilhite,1.0
A. Young,A. Duncanson,1.0
A. Young,D. Clayton,1.0
A. Young,D. Kwiatkowski,1.0
A. Young,J. Todd,1.0
A. Young,L. Cardon,1.0
A. Young,N. Craddock,1.0
A. Young,N. Samani,1.0
A. Young,P. Burton,1.0
A. Young,P. Deloukas,1.0
A. Young,W. Ouwehand,1.0
A. Zadissa,A. Gall,1.0
A. Zadissa,C. G. Girón,1.0
A. Zadissa,Carla A. Cummins,1.0
A. Zadissa,D. Zerbino,1.0
A. Zadissa,Jyothish Bhai,1.0
A. Zadissa,Konstantinos Billis,1.0
A. Zadissa,Leo Gordon,1.0
A. Zadissa,M. Amode,1.0
A. Zadissa,P. Achuthan,1.0
A. Zadissa,Wasiu A. Akanni,1.0
A. Zahler,Tom H. Pringle,1.0
A. Zanne,D. Coomes,1.0
A. Zanne,N. Swenson,1.0
A. Zanne,S. Jansen,1.0
A. Zanne,S. Lewis,1.0
A. Zasypkin,Chad Charowhas,1.0
A. Zasypkin,Colleen J. Bollin,1.0
A. Zasypkin,Devon Bourexis,1.0
A. Zasypkin,I. Dondoshansky,1.0
A. Zasypkin,J. Beck,1.0
A. Zasypkin,Karen Clark,1.0
A. Zasypkin,Kathryn Funk,1.0
A. Zasypkin,Lawrence Fitzpatrick,1.0
A. Zasypkin,Mark Cavanaugh,1.0
A. Zasypkin,R. Agarwala,1.0
A. Ziv,Barry S. Issenberg,1.0
A. Ziv,D. D Brown,1.0
A. Ziv,D. L. Gordon,1.0
A. Ziv,E. Petrusa,1.0
A. Ziv,Gordon A. Ewy,1.0
A. Ziv,I. Gessner,1.0
A. Ziv,J. Felner,1.0
A. Ziv,Loryn Feinberg,1.0
A. Ziv,Rosanna Millos,1.0
A. Ziv,W. McGaghie,1.0
A. Zlotnik,D. Rossi,1.0
A. Znaor,M. Colombet,1.0
A. Znaor,M. Piñeros,1.0
A. Zweig,A. Pohl,1.0
A. Zweig,B. Raney,1.0
A. Zweig,F. Hsu,1.0
A. Zweig,G. Barber,1.0
A. Zweig,H. Clawson,1.0
A. Zweig,Jennifer Hillman-Jackson,1.0
A. Zweig,K. Rosenbloom,1.0
A. Zweig,Kayla E. Smith,1.0
A. Zweig,R. Harte,1.0
A. Zweig,R. Kuhn,1.0
A. de Cheveigné,Hideki Kawahara,1.0
A. van Knippenberg,D. Wigboldus,1.0
A. van Knippenberg,Gijsbert Bijlstra,1.0
A. van Knippenberg,O. Langner,1.0
A. van Knippenberg,R. Dotsch,1.0
A. van Knippenberg,Skyler T. Hawk,1.0
Aaron D. Black,A. G. Robertson,1.0
Aaron D. Black,A. Mungall,1.0
Aaron D. Black,Benjamin J. Raphael,1.0
Aaron D. Black,C. Miller,1.0
Aaron D. Black,J. Baty,1.0
Aaron D. Black,K. Hoadley,1.0
Aaron D. Black,L. Ding,1.0
Aaron D. Black,P. Laird,1.0
Aaron D. Black,T. Ley,1.0
Aaron D. Black,T. Triche,1.0
Aaron Gabow,D. Betel,1.0
Aaron Gabow,D. Marks,1.0
Aaron Gabow,Manda Wilson,1.0
Aaron M. Joffe,C. Gélinas,1.0
Aaron M. Joffe,D. Coursin,1.0
Aaron M. Joffe,E. W. Ely,1.0
Aaron M. Joffe,Gilles L. Fraser,1.0
Aaron M. Joffe,J. Barr,1.0
Aaron M. Joffe,John P. Kress,1.0
Aaron M. Joffe,John W. Devlin,1.0
Aaron M. Joffe,Joseph F. Dasta,1.0
Aaron M. Joffe,Judy E. Davidson,1.0
Aaron M. Joffe,K. Puntillo,1.0
Abhishek Singh,Jia-Bin Huang,1.0
Abhishek Singh,N. Ahuja,1.0
Abiodun K Onipinla,A. Duncanson,1.0
Abiodun K Onipinla,D. Clayton,1.0
Abiodun K Onipinla,D. Kwiatkowski,1.0
Abiodun K Onipinla,J. Todd,1.0
Abiodun K Onipinla,L. Cardon,1.0
Abiodun K Onipinla,N. Craddock,1.0
Abiodun K Onipinla,N. Samani,1.0
Abiodun K Onipinla,P. Burton,1.0
Abiodun K Onipinla,P. Deloukas,1.0
Abiodun K Onipinla,W. Ouwehand,1.0
Adam B. Mallonee,Brian D. Ondov,1.0
Adam B. Mallonee,N. Bergman,1.0
Adam B. Mallonee,P. Melsted,1.0
Adam B. Mallonee,S. Koren,1.0
Adam B. Mallonee,Todd J. Treangen,1.0
Adam J. Smith,ChristopherA. Miller,1.0
Adam J. Smith,Frank K. Pettit,1.0
Adam J. Smith,J. Bowie,1.0
Adam Skarshewski,Christian Rinke,1.0
Adam Skarshewski,D. Waite,1.0
Adam Skarshewski,M. Chuvochina,1.0
Adam Starkey,Anthony P. Reeves,1.0
Adam Starkey,Binsheng Zhao,1.0
Adam Starkey,C. Henschke,1.0
Adam Starkey,C. R. Meyer,1.0
Adam Starkey,Denise Aberle,1.0
Adam Starkey,Eric A. Hoffman,1.0
Adam Starkey,Geoffrey Mclennan,1.0
Adam Starkey,Luc Bidaut,1.0
Adam Starkey,M. McNitt-Gray,1.0
Adam Starkey,S. Armato,1.0
Adrian Ally,A. G. Robertson,1.0
Adrian Ally,A. Mungall,1.0
Adrian Ally,Benjamin J. Raphael,1.0
Adrian Ally,C. Miller,1.0
Adrian Ally,J. Baty,1.0
Adrian Ally,K. Hoadley,1.0
Adrian Ally,L. Ding,1.0
Adrian Ally,P. Laird,1.0
Adrian Ally,T. Ley,1.0
Adrian Ally,T. Triche,1.0
Adrian F. Hernandez,A. Deswal,1.0
Adrian F. Hernandez,B. Bozkurt,1.0
Adrian F. Hernandez,D. Aguilar,1.0
Adrian F. Hernandez,Joni J. Byun,1.0
Adrian F. Hernandez,L. Allen,1.0
Adrian F. Hernandez,Linda R. Evers,1.0
Adrian F. Hernandez,M. Drazner,1.0
Adrian F. Hernandez,Monica Colvin,1.0
Adrian F. Hernandez,P. Heidenreich,1.0
Adrian F. Hernandez,S. Dunlay,1.0
Adriana Malheiro,Chad Charowhas,1.0
Adriana Malheiro,Colleen J. Bollin,1.0
Adriana Malheiro,Devon Bourexis,1.0
Adriana Malheiro,I. Dondoshansky,1.0
Adriana Malheiro,J. Beck,1.0
Adriana Malheiro,Karen Clark,1.0
Adriana Malheiro,Kathryn Funk,1.0
Adriana Malheiro,Lawrence Fitzpatrick,1.0
Adriana Malheiro,Mark Cavanaugh,1.0
Adriana Malheiro,R. Agarwala,1.0
Adriano Pinto,Carlos Alberto Silva,1.0
Adriano Pinto,Sérgio Pereira,1.0
Adriano Pinto,Victor Alves,1.0
Adèle Paul-Hus,P. Mongeon,1.0
Agata Laydon,Augustin Žídek,1.0
Agata Laydon,Cindy Natassia,1.0
Agata Laydon,D. Yuan,1.0
Agata Laydon,Galabina Yordanova,1.0
Agata Laydon,Gemma Wood,1.0
Agata Laydon,M. Deshpande,1.0
Agata Laydon,M. Váradi,1.0
Agata Laydon,Oana Stroe,1.0
Agata Laydon,S. Anyango,1.0
Agata Laydon,S. Nair,1.0
Aikaterini Geladaki,Anna Bäckström,1.0
Aikaterini Geladaki,Diana Mahdessian,1.0
Aikaterini Geladaki,Frida Danielsson,1.0
Aikaterini Geladaki,Hammou Ait Blal,1.0
Aikaterini Geladaki,Jenny Fall,1.0
Aikaterini Geladaki,L. Breckels,1.0
Aikaterini Geladaki,Lars Björk,1.0
Aikaterini Geladaki,Lovisa Åkesson,1.0
Aikaterini Geladaki,Mikaela Wiking,1.0
Aikaterini Geladaki,Peter J. Thul,1.0
Ajay Khanna,Benjamin Schuster-Böckler,1.0
Ajay Khanna,Simon Moxon,1.0
Ajay Khanna,T. Lassmann,1.0
Ajay Khanna,Volker Hollich,1.0
Alaa R. Alameldeen,Bradford M. Beckmann,1.0
Alaa R. Alameldeen,D. Wood,1.0
Alaa R. Alameldeen,Daniel J. Sorin,1.0
Alaa R. Alameldeen,Kevin E. Moore,1.0
Alaa R. Alameldeen,M. Hill,1.0
Alaa R. Alameldeen,Michael R. Marty,1.0
Alaa R. Alameldeen,Milo M. K. Martin,1.0
Alaa R. Alameldeen,Min Xu,1.0
Alain Horé,D. Ziou,1.0
Alan C. Evans,Arthur W Toga,1.0
Alan C. Evans,Bruce Pike,1.0
Alan C. Evans,Colin Holmes,1.0
Alan C. Evans,Gregory Simpson,1.0
Alan C. Evans,Jack Lancaster,1.0
Alan C. Evans,John Mazziotta,1.0
Alan C. Evans,K. Zilles,1.0
Alan C. Evans,Peter Fox,1.0
Alan C. Evans,Roger Woods,1.0
Alan C. Evans,Tomas Paus,1.0
Alan Graeff,Chad Charowhas,1.0
Alan Graeff,Colleen J. Bollin,1.0
Alan Graeff,Devon Bourexis,1.0
Alan Graeff,I. Dondoshansky,1.0
Alan Graeff,J. Beck,1.0
Alan Graeff,Karen Clark,1.0
Alan Graeff,Kathryn Funk,1.0
Alan Graeff,Lawrence Fitzpatrick,1.0
Alan Graeff,Mark Cavanaugh,1.0
Alan Graeff,R. Agarwala,1.0
Alan J. Barrett,Alex Bateman,1.0
Alan J. Barrett,Neil D. Rawlings,1.0
Alastair Compston,A. Duncanson,1.0
Alastair Compston,D. Clayton,1.0
Alastair Compston,D. Kwiatkowski,1.0
Alastair Compston,J. Todd,1.0
Alastair Compston,L. Cardon,1.0
Alastair Compston,N. Craddock,1.0
Alastair Compston,N. Samani,1.0
Alastair Compston,P. Burton,1.0
Alastair Compston,P. Deloukas,1.0
Alastair Compston,W. Ouwehand,1.0
Alberto García-Durán,Antoine Bordes,1.0
Alberto García-Durán,Nicolas Usunier,1.0
Alberto García-Durán,Oksana Yakhnenko,1.0
Alberto Groff,G. Clarke,1.0
Alberto Groff,P. Keefer,1.0
Alberto Groff,Patrick Paul Walsh,1.0
Alberto M. Biancardi,Anthony P. Reeves,1.0
Alberto M. Biancardi,Binsheng Zhao,1.0
Alberto M. Biancardi,C. Henschke,1.0
Alberto M. Biancardi,C. R. Meyer,1.0
Alberto M. Biancardi,Denise Aberle,1.0
Alberto M. Biancardi,Eric A. Hoffman,1.0
Alberto M. Biancardi,Geoffrey Mclennan,1.0
Alberto M. Biancardi,Luc Bidaut,1.0
Alberto M. Biancardi,M. McNitt-Gray,1.0
Alberto M. Biancardi,S. Armato,1.0
Alberto Paccanaro,A. Ignatchenko,1.0
Alberto Paccanaro,A. Tikuisis,1.0
Alberto Paccanaro,G. Cagney,1.0
Alberto Paccanaro,Gouqing Zhong,1.0
Alberto Paccanaro,Haiyuan Yu,1.0
Alberto Paccanaro,Joyce Li,1.0
Alberto Paccanaro,N. Krogan,1.0
Alberto Paccanaro,Nira Datta,1.0
Alberto Paccanaro,S. Pu,1.0
Alberto Paccanaro,Xinghua Guo,1.0
Alejandro F Frangi,David Zhang,1.0
Alejandro F Frangi,Jian Yang,1.0
Alejandro F Frangi,Jing-yu Yang,1.0
Aleksandra Shypitsyna,A. D. Silva,1.0
Aleksandra Shypitsyna,B. Bely,1.0
Aleksandra Shypitsyna,Borisas Bursteinas,1.0
Aleksandra Shypitsyna,C. Bonilla,1.0
Aleksandra Shypitsyna,J. Arganiska,1.0
Aleksandra Shypitsyna,M. Bingley,1.0
Aleksandra Shypitsyna,M. D. Giorgi,1.0
Aleksandra Shypitsyna,R. Antunes,1.0
Aleksandra Shypitsyna,R. Britto,1.0
Aleksandra Shypitsyna,Tunca Dogan,1.0
Alessi Vande Casteele,Anthony P. Reeves,1.0
Alessi Vande Casteele,Binsheng Zhao,1.0
Alessi Vande Casteele,C. Henschke,1.0
Alessi Vande Casteele,C. R. Meyer,1.0
Alessi Vande Casteele,Denise Aberle,1.0
Alessi Vande Casteele,Eric A. Hoffman,1.0
Alessi Vande Casteele,Geoffrey Mclennan,1.0
Alessi Vande Casteele,Luc Bidaut,1.0
Alessi Vande Casteele,M. McNitt-Gray,1.0
Alessi Vande Casteele,S. Armato,1.0
Alex Astashyn,Azat Badretdin,1.0
Alex Astashyn,B. Rajput,1.0
Alex Astashyn,B. Robbertse,1.0
Alex Astashyn,B. Smith-White,1.0
Alex Astashyn,Danso Ako-Adjei,1.0
Alex Astashyn,Diana Haddad,1.0
Alex Astashyn,Mathew W. Wright,1.0
Alex Astashyn,N. O'Leary,1.0
Alex Astashyn,Richard McVeigh,1.0
Alex Astashyn,S. Ciufo,1.0
Alex Bateman,A. Heger,1.0
Alex Bateman,Alan J. Barrett,1.0
Alex Bateman,Erik L. L. Sonnhammer,1.0
Alex Bateman,Joanne E. Pollington,1.0
Alex Bateman,John G. Tate,1.0
Alex Bateman,Kristoffer Forslund,1.0
Alex Bateman,Liisa Holm,1.0
Alex Bateman,Neil D. Rawlings,1.0
Alex Bateman,O. L. Gavin,1.0
Alex Bateman,Penny C. Coggill,1.0
Alex Bateman,Prasad Gunasekaran,1.0
Alex Bateman,Robert D. Finn,1.0
Alex C Rodriguez,B. Zeeberg,1.0
Alex C Rodriguez,C. M. Shenmen,1.0
Alex C Rodriguez,C. Schaefer,1.0
Alex C Rodriguez,E. Feingold,1.0
Alex C Rodriguez,F. Collins,1.0
Alex C Rodriguez,J. G. Derge,1.0
Alex C Rodriguez,K. Buetow,1.0
Alex C Rodriguez,L. Grouse,1.0
Alex C Rodriguez,R. Klausner,1.0
Alex C Rodriguez,R. Strausberg,1.0
Alex Smola,A. Gretton,1.0
Alex Smola,B. Scholkopf,1.0
Alex Smola,Karsten M. Borgwardt,1.0
Alex Smola,M. Rasch,1.0
Alex Wilson,Diana Le,1.0
Alex Wilson,Ithayavani Iynkkaran,1.0
Alex Wilson,Lucy Chin,1.0
Alex Wilson,Nicola Gale,1.0
Alex Wilson,Ryan Cummings,1.0
Alexander C Ford,G. Leontiadis,1.0
Alexander C Ford,P. Moayyedi,1.0
Alexander C. J. Roth,Michael Kuhn,1.0
Alexander Egan,B. Avants,1.0
Alexander Egan,J. Gee,1.0
Alexander Egan,N. Tustison,1.0
Alexander Egan,P. Cook,1.0
Alexander Egan,Paul Yushkevich,1.0
Alexander Egan,Yuanjie Zheng,1.0
Alexander J. Probst,Julia Goodrich,1.0
Alexander J. Probst,M. Price,1.0
Alexander Mosena,Ellie E. Dyer,1.0
Alexander Mosena,H. Seebens,1.0
Alexander Mosena,J. Jeschke,1.0
Alexander Mosena,M. Arianoutsou,1.0
Alexander Mosena,M. Winter,1.0
Alexander Mosena,P. Genovesi,1.0
Alexander Mosena,P. Hulme,1.0
