author,communityId,publications
Qiurong Ruan,1662,"Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China"
Kun Yang,1663,"Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China"
Wenxia Wang,1664,"Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China"
Lingyu Jiang,1665,"Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China"
Jianxin Song,1666,"Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China"
G. Hemani,1667,The MR-Base platform supports systematic causal inference across the human phenome
Jie Zheng,1668,The MR-Base platform supports systematic causal inference across the human phenome
B. Elsworth,1669,The MR-Base platform supports systematic causal inference across the human phenome
K. Wade,1670,The MR-Base platform supports systematic causal inference across the human phenome
Valeriia Haberland,1671,The MR-Base platform supports systematic causal inference across the human phenome
D. Baird,1672,The MR-Base platform supports systematic causal inference across the human phenome
Charles Laurin,1673,The MR-Base platform supports systematic causal inference across the human phenome
S. Burgess,1674,The MR-Base platform supports systematic causal inference across the human phenome
J. Bowden,1675,The MR-Base platform supports systematic causal inference across the human phenome
Ryan J. Langdon,1676,The MR-Base platform supports systematic causal inference across the human phenome
Vanessa Y. Tan,1677,The MR-Base platform supports systematic causal inference across the human phenome
J. Yarmolinsky,1678,The MR-Base platform supports systematic causal inference across the human phenome
Hashem A. Shihab,1679,The MR-Base platform supports systematic causal inference across the human phenome
David M. Evans,1680,The MR-Base platform supports systematic causal inference across the human phenome
C. Relton,1681,The MR-Base platform supports systematic causal inference across the human phenome
Richard M. Martin,1682,The MR-Base platform supports systematic causal inference across the human phenome
G. Davey Smith,1683,The MR-Base platform supports systematic causal inference across the human phenome
Tom R. Gaunt,1684,The MR-Base platform supports systematic causal inference across the human phenome
P. Haycock,1685,The MR-Base platform supports systematic causal inference across the human phenome
David G. Lowe,1686,Distinctive Image Features from Scale-Invariant Keypoints
R. Elmasri,1687,Fundamentals of Database Systems
S. Navathe,1688,Fundamentals of Database Systems; An Efficient Algorithm for Mining Association Rules in Large Databases
M. Washburn,1689,Large-scale analysis of the yeast proteome by multidimensional protein identification technology
D. Wolters,1690,Large-scale analysis of the yeast proteome by multidimensional protein identification technology
M. Lynch,1691,The evolutionary fate and consequences of duplicate genes.
J. Conery,1692,The evolutionary fate and consequences of duplicate genes.
P. Cock,1693,Biopython: freely available Python tools for computational molecular biology and bioinformatics
T. Antão,1694,Biopython: freely available Python tools for computational molecular biology and bioinformatics
Jeffrey T. Chang,1695,Biopython: freely available Python tools for computational molecular biology and bioinformatics
Brad A. Chapman,1696,Biopython: freely available Python tools for computational molecular biology and bioinformatics
C. Cox,1697,Biopython: freely available Python tools for computational molecular biology and bioinformatics
A. Dalke,1698,Biopython: freely available Python tools for computational molecular biology and bioinformatics
Iddo Friedberg,1699,Biopython: freely available Python tools for computational molecular biology and bioinformatics
T. Hamelryck,1700,Biopython: freely available Python tools for computational molecular biology and bioinformatics
F. Kauff,1701,Biopython: freely available Python tools for computational molecular biology and bioinformatics
B. Wilczyński,1702,Biopython: freely available Python tools for computational molecular biology and bioinformatics
Michiel J. L. de Hoon,1703,Biopython: freely available Python tools for computational molecular biology and bioinformatics
J. Ludvigsson,1704,External review and validation of the Swedish national inpatient register
E. Andersson,1705,External review and validation of the Swedish national inpatient register
A. Ekbom,1706,External review and validation of the Swedish national inpatient register
M. Feychting,1707,External review and validation of the Swedish national inpatient register
Jeong-Lim Kim,1708,External review and validation of the Swedish national inpatient register
C. Reuterwall,1709,External review and validation of the Swedish national inpatient register
M. Heurgren,1710,External review and validation of the Swedish national inpatient register
P. O. Olausson,1711,External review and validation of the Swedish national inpatient register
J. Coates,1712,"Interpretation of Infrared Spectra, A Practical Approach"
Michael I. Jordan,1713,An Introduction to Variational Methods for Graphical Models
Zoubin Ghahramani,1714,An Introduction to Variational Methods for Graphical Models
T. Jaakkola,1715,An Introduction to Variational Methods for Graphical Models
L. Saul,1716,An Introduction to Variational Methods for Graphical Models
A. W. Schüttelkopf,1717,PRODRG: a tool for high-throughput crystallography of protein-ligand complexes.
D. V. van Aalten,1718,PRODRG: a tool for high-throughput crystallography of protein-ligand complexes.
D. Stacey,1719,Decision aids for people facing health treatment or screening decisions.
F. Légaré,1720,Decision aids for people facing health treatment or screening decisions.
N. Col,1721,Decision aids for people facing health treatment or screening decisions.; Subclinical thyroid disease: scientific review and guidelines for diagnosis and management.
Carol L Bennett,1722,Decision aids for people facing health treatment or screening decisions.
Michael J Barry,1723,Decision aids for people facing health treatment or screening decisions.
Karen B Eden,1724,Decision aids for people facing health treatment or screening decisions.
M. Holmes-Rovner,1725,Decision aids for people facing health treatment or screening decisions.
H. Llewellyn-Thomas,1726,Decision aids for people facing health treatment or screening decisions.
A. Lyddiatt,1727,Decision aids for people facing health treatment or screening decisions.
R. Thomson,1728,Decision aids for people facing health treatment or screening decisions.
L. Trevena,1729,Decision aids for people facing health treatment or screening decisions.
Julie H C Wu,1730,Decision aids for people facing health treatment or screening decisions.
Bmc Bioinformatics,1731,The COG database: an updated version includes eukaryotes
R. Tatusov,1732,The COG database: an updated version includes eukaryotes; The COG database: a tool for genome-scale analysis of protein functions and evolution; Database resources of the National Center for Biotechnology Information; The COG database: new developments in phylogenetic classification of proteins from complete genomes
N. Fedorova,1733,The COG database: an updated version includes eukaryotes; The COG database: new developments in phylogenetic classification of proteins from complete genomes
J. Jackson,1734,The COG database: an updated version includes eukaryotes; CDD: a Conserved Domain Database for the functional annotation of proteins
A. R. Jacobs,1735,The COG database: an updated version includes eukaryotes
B. Kiryutin,1736,The COG database: an updated version includes eukaryotes; The COG database: new developments in phylogenetic classification of proteins from complete genomes
E. Koonin,1737,"The COG database: an updated version includes eukaryotes; The COG database: a tool for genome-scale analysis of protein functions and evolution; The COG database: new developments in phylogenetic classification of proteins from complete genomes; AAA+: A class of chaperone-like ATPases associated with the assembly, operation, and disassembly of protein complexes."
D. M. Krylov,1738,The COG database: an updated version includes eukaryotes
R. Mazumder,1739,The COG database: an updated version includes eukaryotes
S. Mekhedov,1740,The COG database: an updated version includes eukaryotes
A. Nikolskaya,1741,The COG database: an updated version includes eukaryotes
B. Sridhar Rao,1742,The COG database: an updated version includes eukaryotes
S. Smirnov,1743,The COG database: an updated version includes eukaryotes
A. Sverdlov,1744,The COG database: an updated version includes eukaryotes
S. Vasudevan,1745,The COG database: an updated version includes eukaryotes
Y. Wolf,1746,The COG database: an updated version includes eukaryotes
Jodie J. Yin,1747,The COG database: an updated version includes eukaryotes
M. Flickner,1748,"Query by Image and Video Content: The QBIC System; QBIC project: querying images by content, using color, texture, and shape"
H. Sawhney,1749,Query by Image and Video Content: The QBIC System
J. Ashley,1750,Query by Image and Video Content: The QBIC System
Qian Huang,1751,Query by Image and Video Content: The QBIC System
B. Dom,1752,Query by Image and Video Content: The QBIC System
M. Gorkani,1753,Query by Image and Video Content: The QBIC System
J. Hafner,1754,Query by Image and Video Content: The QBIC System
Denis Lee,1755,Query by Image and Video Content: The QBIC System
D. Petkovic,1756,"Query by Image and Video Content: The QBIC System; QBIC project: querying images by content, using color, texture, and shape"
David Steele,1757,Query by Image and Video Content: The QBIC System
P. Yanker,1758,"Query by Image and Video Content: The QBIC System; QBIC project: querying images by content, using color, texture, and shape"
B. S. Manjunath,1759,Texture Features for Browsing and Retrieval of Image Data
Wei-Ying Ma,1760,Texture Features for Browsing and Retrieval of Image Data
Lin Zhang,1761,FSIM: A Feature Similarity Index for Image Quality Assessment
Lei Zhang,1762,FSIM: A Feature Similarity Index for Image Quality Assessment
X. Mou,1763,FSIM: A Feature Similarity Index for Image Quality Assessment
David Zhang,1764,FSIM: A Feature Similarity Index for Image Quality Assessment
L. Deng,1765,The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]
D. Goodstein,1766,Phytozome: a comparative platform for green plant genomics
S. Shu,1767,Phytozome: a comparative platform for green plant genomics
R. Howson,1768,Phytozome: a comparative platform for green plant genomics
R. Neupane,1769,Phytozome: a comparative platform for green plant genomics
Richard D. Hayes,1770,Phytozome: a comparative platform for green plant genomics
Joni Fazo,1771,Phytozome: a comparative platform for green plant genomics
T. Mitros,1772,Phytozome: a comparative platform for green plant genomics
W. Dirks,1773,Phytozome: a comparative platform for green plant genomics
U. Hellsten,1774,Phytozome: a comparative platform for green plant genomics
Nicholas H. Putnam,1775,Phytozome: a comparative platform for green plant genomics
D. Rokhsar,1776,Phytozome: a comparative platform for green plant genomics
Á. Logadóttir,1777,Trends in the exchange current for hydrogen evolution
Jingguang G. Chen,1778,Trends in the exchange current for hydrogen evolution
S. Pandelov,1779,Trends in the exchange current for hydrogen evolution
U. Stimming,1780,Trends in the exchange current for hydrogen evolution
M. Harris,1781,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
Jennifer I. Clark,1782,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
A. Ireland,1783,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
J. Lomax,1784,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
M. Ashburner,1785,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
R. Foulger,1786,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
K. Eilbeck,1787,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
S. Lewis,1788,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
B. Marshall,1789,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
C. Mungall,1790,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; The Bioperl toolkit: Perl modules for the life sciences.
J. Richter,1791,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
G. Rubin,1792,"Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Generation and initial analysis of more than 15,000 full-length human and mouse cDNA sequences"
Gerald M. Rubin,1793,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
J. Blake,1794,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
M. Dolan,1795,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
H. Drabkin,1796,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
J. Eppig,1797,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
Hill Dp,1798,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
L. Ni,1799,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
M. Ringwald,1800,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
R. Balakrishnan,1801,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Saccharomyces Genome Database: the genomics resource of budding yeast
J. Cherry,1802,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Annotation of functional variation in personal genomes using RegulomeDB; Saccharomyces Genome Database: the genomics resource of budding yeast
K. Christie,1803,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Saccharomyces Genome Database: the genomics resource of budding yeast
M. Costanzo,1804,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Saccharomyces Genome Database: the genomics resource of budding yeast
S. Dwight,1805,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Saccharomyces Genome Database: the genomics resource of budding yeast
S. Engel,1806,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Saccharomyces Genome Database: the genomics resource of budding yeast
D. Fisk,1807,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Saccharomyces Genome Database: the genomics resource of budding yeast
J. Hirschman,1808,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Saccharomyces Genome Database: the genomics resource of budding yeast
Eurie L. Hong,1809,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Annotation of functional variation in personal genomes using RegulomeDB; Saccharomyces Genome Database: the genomics resource of budding yeast
R. Nash,1810,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Saccharomyces Genome Database: the genomics resource of budding yeast
A. Sethuraman,1811,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
Chandra L. Theesfeld,1812,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
D. Botstein,1813,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
K. Dolinski,1814,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
B. Feierbach,1815,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
T. Berardini,1816,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; The Arabidopsis Information Resource (TAIR): improved gene annotation and new tools
S. Mundodi,1817,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
S. Y. Rhee,1818,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
D. Barrell,1819,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource; Ensembl 2018
E. Camon,1820,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
E. Dimmer,1821,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
Lee,1822,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
R. L. Chisholm,1823,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
P. Gaudet,1824,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
W. Kibbe,1825,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
R. Kishore,1826,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
E. Schwarz,1827,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
P. Sternberg,1828,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
M. Gwinn,1829,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
L. Hannick,1830,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
J. Wortman,1831,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
M. Berriman,1832,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
Wood,1833,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
N. Delacruz,1834,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
P. Tonellato,1835,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
P. Jaiswal,1836,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
T. Seigfried,1837,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
R. White,1838,Gene Ontology Consortium: The Gene Ontology (GO) database and informatics resource
T. Ley,1839,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
C. Miller,1840,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
L. Ding,1841,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Benjamin J. Raphael,1842,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
A. Mungall,1843,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
A. G. Robertson,1844,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
K. Hoadley,1845,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
T. Triche,1846,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
P. Laird,1847,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Baty,1848,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
L. Fulton,1849,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
R. Fulton,1850,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
S. Heath,1851,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Joelle M. Kalicki-Veizer,1852,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
C. Kandoth,1853,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Klco,1854,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
D. Koboldt,1855,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
K. Kanchi,1856,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
S. Kulkarni,1857,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
T. Lamprecht,1858,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
D. Larson,1859,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Ling Lin,1860,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Charles Lu,1861,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
M. McLellan,1862,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Joshua F. McMichael,1863,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Payton,1864,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Heather K. Schmidt,1865,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
D. Spencer,1866,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
M. Tomasson,1867,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Wallis,1868,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
L. Wartman,1869,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
M. Watson,1870,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Welch,1871,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
M. Wendl,1872,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Adrian Ally,1873,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
M. Balasundaram,1874,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
I. Birol,1875,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Y. Butterfield,1876,"Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.; Generation and initial analysis of more than 15,000 full-length human and mouse cDNA sequences"
Readman Chiu,1877,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Andy Chu,1878,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
E. Chuah,1879,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Hye-Jung E. Chun,1880,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
R. Corbett,1881,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Noreen Dhalla,1882,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
R. Guin,1883,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
A. He,1884,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Carrie Hirst,1885,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
M. Hirst,1886,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
R. Holt,1887,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Steven P. Jones,1888,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
A. Karsan,1889,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Darlene Lee,1890,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
H. Li,1891,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
M. Marra,1892,"Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.; Generation and initial analysis of more than 15,000 full-length human and mouse cDNA sequences"
Michael Mayo,1893,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Richard A. Moore,1894,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
K. Mungall,1895,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Parker,1896,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
E. Pleasance,1897,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Patrick Plettner,1898,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Schein,1899,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
D. Stoll,1900,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Lucas Swanson,1901,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Angela Tam,1902,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
N. Thiessen,1903,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
R. Varhol,1904,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
N. Wye,1905,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Yongjun Zhao,1906,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
C. Sougnez,1907,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
L. Zou,1908,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Mark D. M. Leiserson,1909,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Fabio Vandin,1910,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Hsin-Ta Wu,1911,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
F. Applebaum,1912,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
S. Baylin,1913,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Rehan Akbani,1914,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
B. Broom,1915,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Ken Chen,1916,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Thomas C. Motter,1917,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Khanh Nguyen,1918,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Weinstein,1919,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Nianziang Zhang,1920,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
M. Ferguson,1921,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
C. Adams,1922,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Aaron D. Black,1923,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Jay Bowen,1924,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Gastier-Foster,1925,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
T. Grossman,1926,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
T. Lichtenberg,1927,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
L. Wise,1928,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Tanja Davidsen,1929,"Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.; Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial ""pan-genome""."
John A. Demchok,1930,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
K. Shaw,1931,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Margi Sheth,1932,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
H. Sofia,1933,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
Liming Yang,1934,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
J. Downing,1935,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
G. Eley,1936,Genomic and epigenomic landscapes of adult de novo acute myeloid leukemia.
The Uniprot Consortium,1937,UniProt: a hub for protein information
Jeffrey S. Berger,1938,Aspirin for the Primary Prevention of Cardiovascular Events in Women and Men: A Sex-Specific Meta-Analysis of Randomized Controlled Trials
M. Roncaglioni,1939,Aspirin for the Primary Prevention of Cardiovascular Events in Women and Men: A Sex-Specific Meta-Analysis of Randomized Controlled Trials
Fausto Avanzini,1940,Aspirin for the Primary Prevention of Cardiovascular Events in Women and Men: A Sex-Specific Meta-Analysis of Randomized Controlled Trials
I. Pangrazzi,1941,Aspirin for the Primary Prevention of Cardiovascular Events in Women and Men: A Sex-Specific Meta-Analysis of Randomized Controlled Trials
Gianni Tognoni,1942,Aspirin for the Primary Prevention of Cardiovascular Events in Women and Men: A Sex-Specific Meta-Analysis of Randomized Controlled Trials
David L Brown,1943,Aspirin for the Primary Prevention of Cardiovascular Events in Women and Men: A Sex-Specific Meta-Analysis of Randomized Controlled Trials
Tom White,1944,Hadoop: The Definitive Guide
S. Chopra,1945,"Learning a similarity metric discriminatively, with application to face verification"
R. Hadsell,1946,"Learning a similarity metric discriminatively, with application to face verification"
N. Berkman,1947,Low Health Literacy and Health Outcomes: An Updated Systematic Review
Stacey L. Sheridan,1948,Low Health Literacy and Health Outcomes: An Updated Systematic Review
Katrina E. Donahue,1949,Low Health Literacy and Health Outcomes: An Updated Systematic Review
David J. Halpern,1950,Low Health Literacy and Health Outcomes: An Updated Systematic Review
Karen Crotty,1951,Low Health Literacy and Health Outcomes: An Updated Systematic Review
Sune Pletscher-Frankild,1952,"STRING v9.1: protein-protein interaction networks, with increased coverage and integration"
Jianyi Lin,1953,"STRING v9.1: protein-protein interaction networks, with increased coverage and integration"
Pablo Minguez,1954,"STRING v9.1: protein-protein interaction networks, with increased coverage and integration; The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored"
P. Hingamp,1955,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
John Quackenbush,1956,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data; TIGR Gene Indices clustering tools (TGICL): a software system for fast clustering of large EST datasets
G. Sherlock,1957,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
P. Spellman,1958,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data; Mapping identifiers for the integration of genomic datasets with the R/Bioconductor package biomaRt
C. Stoeckert,1959,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
John D Aach,1960,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
W. Ansorge,1961,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
C. Ball,1962,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
H. Causton,1963,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
T. Gaasterland,1964,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
Patrick Glenisson,1965,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
F. Holstege,1966,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
V. Markowitz,1967,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
J. Matese,1968,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
H. Parkinson,1969,"Minimum information about a microarray experiment (MIAME)—toward standards for microarray data; The NHGRI-EBI GWAS Catalog of published genome-wide association studies, targeted arrays and summary statistics 2019; The new NHGRI-EBI Catalog of published genome-wide association studies (GWAS Catalog)"
A. Robinson,1970,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
Ugis Sarkans,1971,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
S. Schulze-Kremer,1972,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
Jason E. Stewart,1973,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
Ronald C. Taylor,1974,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
J. Vilo,1975,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
M. Vingron,1976,Minimum information about a microarray experiment (MIAME)—toward standards for microarray data
Ye Zhang,1977,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
Kenian Chen,1978,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
S. Sloan,1979,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
Mariko L. Bennett,1980,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
A. Scholze,1981,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
S. O’Keeffe,1982,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
